METHOD = DISCRETIZE

	Running discretize based tests on Mersenne 

	11. Serial Test (p01)                       PASS!	p=0.00000	0.49896	0.21176	0.01432	0.03650	0.00492	0.00002	0.11565	0.41995	0.72472	0.49896	0.57816	0.84116	0.72519	0.72519	0.88516	0.78787	0.84135	0.88516	0.88497	0.21176	0.49896	0.27385	0.49896	0.84116	0.49896	0.49896	0.21194	0.65439	0.57816	0.49896	0.27385	0.49896	0.72457	0.72457	0.78715	0.91896	0.72488	0.78751	0.88479	0.34412	0.78715	0.49896	0.88461	0.88461	0.94538	0.78769	0.02326	0.41982	0.72519	0.08113	0.02326	0.02326	0.05538	0.34400	0.27401	0.78769	0.88497	0.84078	0.84059	0.72425	0.84002	0.65381	0.84040	0.72457	0.57816	0.84097	0.72457	0.84059	0.49896	0.84078	0.78751	0.78769	0.78769	0.57822	0.57810	0.49896	0.42001	0.34434	0.27447	0.27416	0.00038	0.00008	0.00492	0.00149	0.11637	0.34446	
	11. Serial Test (p02)                       PASS!	p=0.14940	0.95544	0.71319	0.06066	0.04562	0.12953	0.01756	0.28525	0.83832	0.99216	0.89851	0.80127	0.75951	0.55481	0.49853	0.44234	0.44234	0.55481	0.83889	0.95569	0.38744	0.66309	0.38744	0.49853	0.87109	0.49853	0.33483	0.33483	0.80127	0.44243	0.66297	0.55476	0.80109	0.89816	0.94015	0.66273	0.89816	0.66297	0.33483	0.60988	0.66285	0.75899	0.49853	0.83832	0.55467	0.75933	0.55476	0.04562	0.23935	0.44234	0.00577	0.00580	0.02455	0.23935	0.19815	0.49853	0.89869	0.92174	0.94030	0.89816	0.71244	0.83756	0.66237	0.71259	0.49853	0.38752	0.44243	0.33507	0.49853	0.23969	0.66285	0.75933	0.38744	0.66309	0.75951	0.49853	0.16183	0.02481	0.01257	0.01784	0.07967	0.07951	0.02455	0.16145	0.12990	0.38786	0.38786	
	12. Approximate Entropy Test                PASS!	p=0.00000	0.41094	0.63597	0.46003	0.34914	0.26255	0.62549	0.43909	0.74868	0.56600	0.51626	0.57918	0.76414	0.85347	0.72029	0.88897	0.76865	0.85176	0.70861	0.77056	0.76036	0.56542	0.69680	0.64761	0.64196	0.55351	0.83822	0.70064	0.74726	0.72373	0.71667	0.74606	0.65928	0.35965	0.23328	0.59850	0.60081	0.79462	0.79524	0.82961	0.80728	0.66926	0.55439	0.62533	0.78942	0.60423	0.28698	0.44528	0.61726	0.70363	0.64924	0.58345	0.63239	0.69102	0.78525	0.87514	0.55916	0.78023	0.86018	0.94439	0.71254	0.59059	0.58323	0.74218	0.68446	0.60506	0.58388	0.72700	0.43565	0.32902	0.38544	0.81906	0.89446	0.70394	0.72067	0.88562	0.79602	0.80753	0.81187	0.61778	0.88578	0.57618	0.76268	0.65456	0.47646	0.58310	0.73533	
	13. Cumulative Sums Test (Forward)          PASS!	p=0.38542	0.87753	0.59863	0.15674	0.24873	0.29280	0.13871	0.27760	0.04747	0.13915	0.29280	0.91827	0.89843	0.23504	0.26241	0.52551	0.43707	0.08262	0.03502	0.19852	0.34188	0.67552	0.37808	0.24873	0.43742	0.80555	0.43778	0.95150	0.91827	0.23562	0.72828	0.85431	0.99038	0.83118	0.96493	0.65061	0.85505	0.14773	0.01879	0.01240	0.00961	0.00677	0.18809	0.23590	0.19904	0.57420	0.54957	0.45855	0.97551	0.72762	0.72762	0.93581	0.50280	0.43742	0.32510	0.57420	0.85431	0.26271	0.83092	0.55066	0.55139	0.85579	0.99477	0.70305	0.85505	0.27760	0.23562	0.52697	0.83118	0.75476	0.32543	0.57420	0.26271	0.35965	0.62389	0.99737	0.67656	0.27822	0.70305	0.32608	0.36033	0.64991	0.93581	0.75444	0.98418	0.80697	0.32641	
	13. Cumulative Sums Test (Backward)         PASS!	p=0.87823	0.70237	0.27729	0.54957	0.30831	0.14773	0.10775	0.12262	0.02804	0.17713	0.45891	0.87731	0.52588	0.29217	0.67518	0.43707	0.07721	0.06730	0.05849	0.43742	0.57383	0.62389	0.26271	0.26271	0.91809	0.62389	0.50316	0.48071	0.57420	0.43778	0.83065	0.97551	0.85481	0.57492	0.89903	0.85505	0.96493	0.08294	0.01731	0.03021	0.00514	0.01052	0.30928	0.15721	0.36033	0.72828	0.34188	0.64955	0.85431	0.99461	0.85407	0.70170	0.29249	0.59863	0.67587	0.67587	0.39719	0.23533	0.67622	0.39823	0.75570	0.87842	0.93670	0.65096	0.72893	0.21051	0.62425	0.29343	0.57492	0.80612	0.34255	0.45891	0.52588	0.32477	0.98402	0.89883	0.57492	0.27822	0.52734	0.26391	0.39789	0.78036	0.93581	0.93596	0.85505	0.72958	0.39893	
	14. Random Excursions Test (p01)            PASS!	p=0.00012	0.02394	0.65605	0.00035	0.59989	0.15218	0.51567	0.01765	0.83895	0.61261	0.14388	0.53991	0.71348	0.77836	0.22099	0.65146	0.84586	0.48163	0.01061	0.66436	0.46100	0.00374	0.70230	0.55422	0.98698	0.87731	0.11474	0.86447	0.85030	0.28214	0.00971	0.01049	0.72718	0.36710	0.86964	0.84021	0.33155	0.08338	0.97325	0.03557	0.78493	0.99961	0.07409	0.98246	0.02642	0.11047	0.42652	0.99451	0.85978	0.93639	0.98927	0.78083	0.02134	0.80463	0.88710	0.38527	0.82139	0.00093	0.70006	0.59064	0.95957	0.00089	0.92016	0.03340	0.37973	0.84314	0.09728	0.78620	0.86740	0.73419	0.80499	0.82078	0.00766	0.35960	0.36957	0.78137	0.41570	0.00162	0.05873	0.97420	0.00144	0.23800	0.50585	0.57079	0.55224	0.88674	0.33284	
	14. Random Excursions Test (p02)            PASS!	p=0.19314	0.27447	0.88064	0.73889	0.72779	0.95926	0.86704	0.41121	0.66193	0.41588	0.12305	0.48628	0.47704	0.55008	0.67730	0.39359	0.85015	0.57066	0.07411	0.86544	0.43597	0.03367	0.68268	0.00200	0.20731	0.90630	0.32069	0.81461	0.00921	0.50530	0.00224	0.03715	0.31383	0.53478	0.53756	0.60620	0.60396	0.05361	0.94488	0.03434	0.70943	0.99911	0.37467	0.86341	0.95641	0.75705	0.64131	0.98800	0.27375	0.87607	0.97703	0.62520	0.79413	0.02285	0.79147	0.32744	0.96040	0.16214	0.64983	0.12225	0.09526	0.06115	0.77142	0.70081	0.59632	0.37346	0.81447	0.10149	0.61848	0.64736	0.79929	0.58279	0.04055	0.00055	0.43814	0.79767	0.86098	0.00000	0.96352	0.91198	0.14120	0.06799	0.34812	0.35975	0.85930	0.79722	0.30954	
	14. Random Excursions Test (p03)            PASS!	p=0.75380	0.04776	0.30614	0.70125	0.71872	0.81059	0.79496	0.37411	0.78607	0.25435	0.00001	0.92327	0.11728	0.47692	0.44063	0.31444	0.85435	0.11763	0.04993	0.76106	0.36408	0.30374	0.92297	0.78945	0.09033	0.59974	0.50654	0.72785	0.62175	0.65475	0.01006	0.23607	0.40928	0.78876	0.29629	0.74555	0.59229	0.35305	0.68286	0.06033	0.56552	0.99697	0.98987	0.05041	0.89358	0.90833	0.65557	0.96257	0.19673	0.69999	0.93146	0.30430	0.52814	0.05833	0.48735	0.20596	0.41337	0.65475	0.12452	0.90486	0.68286	0.14023	0.36235	0.99160	0.93485	0.48834	0.86016	0.78922	0.71914	0.05114	0.71469	0.44253	0.51008	0.20144	0.41739	0.15259	0.51258	0.00572	0.82049	0.80814	0.78945	0.14648	0.31482	0.68064	0.54126	0.97324	0.52203	
	14. Random Excursions Test (p04)            PASS!	p=0.06039	0.86949	0.27811	0.41588	0.85968	0.53640	0.10579	0.66150	0.12312	0.22666	0.09413	0.60870	0.74500	0.82084	0.40247	0.85692	0.50842	0.01604	0.69999	0.68185	0.54942	0.75988	0.78332	0.08264	0.57856	0.76315	0.62922	0.65318	0.80443	0.02704	0.00111	0.08879	0.51789	0.70962	0.20707	0.77421	0.41588	0.09872	0.54942	0.02075	0.32617	0.96257	0.72200	0.74729	0.75121	0.84435	0.53839	0.69999	0.39136	0.59833	0.35795	0.74063	0.91796	0.94975	0.75121	0.37698	0.16985	0.83643	0.67431	0.96900	0.69999	0.59833	0.55608	0.39807	0.69999	0.54064	0.69064	0.82723	0.11175	0.39588	0.46185	0.52662	0.71400	0.00767	0.54942	0.58376	0.21643	0.00749	0.31517	0.89307	0.88254	0.69064	0.75640	0.57365	0.22954	0.98256	0.26922	
	14. Random Excursions Test (p05)            PASS!	p=0.10672	0.58594	0.46224	0.69999	0.54942	0.61652	0.21452	0.88254	0.84915	0.90604	0.63857	0.81783	0.54591	0.53511	0.32845	0.34670	0.51738	0.72053	0.96257	0.62784	0.38614	0.57425	0.75583	0.44715	0.52099	0.35473	0.62922	0.62668	0.92017	0.86158	0.46185	0.18656	0.46759	0.36485	0.01685	0.32124	0.45173	0.68953	0.93146	0.85425	0.54942	0.22064	0.67797	0.06895	0.54942	0.95069	0.88007	0.27512	0.93935	0.25585	0.91307	0.75792	0.91142	0.65441	0.69999	0.11262	0.68531	0.64411	0.54463	0.40580	0.41588	0.94273	0.30472	0.38080	0.46185	0.36812	0.03356	0.95111	0.11731	0.47988	0.13290	0.41102	0.84915	0.17192	0.84915	0.39473	0.23371	0.54317	0.86969	0.63857	0.58594	0.77421	0.82319	0.47988	0.68790	0.97349	0.08740	
	14. Random Excursions Test (906)            PASS!	p=0.44808	0.87120	0.73256	0.14251	0.45679	0.10211	0.03748	0.48071	0.94823	0.96359	0.40780	0.19639	0.03591	0.93263	0.71331	0.05197	0.99766	0.80379	0.90055	0.95069	0.23770	0.81784	0.36316	0.75121	0.28930	0.16892	0.78370	0.35154	0.62900	0.76505	0.84697	0.08132	0.49654	0.22156	0.00014	0.08568	0.64982	0.68857	0.80197	0.97273	0.23420	0.00000	0.84301	0.77442	0.31842	0.08248	0.73274	0.00004	0.71765	0.10424	0.50249	0.59257	0.48607	0.39161	0.12349	0.26831	0.26718	0.74040	0.55333	0.49995	0.89358	0.43647	0.84670	0.80641	0.16362	0.72080	0.70114	0.24460	0.85638	0.52693	0.10368	0.71255	0.47801	0.58051	0.98475	0.57905	0.00034	0.69254	0.94170	0.78471	0.90363	0.70598	0.67468	0.90190	0.52805	0.62177	0.01123	
	14. Random Excursions Test (p07)            PASS!	p=0.03572	0.94191	0.46917	0.73889	0.91259	0.81502	0.20267	0.77869	0.10373	0.56119	0.26365	0.08196	0.34117	0.22958	0.03504	0.28829	0.77501	0.06369	0.87111	0.15858	0.89482	0.59466	0.32185	0.90125	0.03371	0.10120	0.63015	0.88609	0.37778	0.82084	0.86055	0.70740	0.23955	0.43613	0.00000	0.00459	0.80373	0.16503	0.95641	0.24350	0.00494	0.04329	0.86965	0.26804	0.28724	0.85288	0.84950	0.00000	0.75796	0.29381	0.87471	0.99811	0.25686	0.62582	0.00043	0.19693	0.92004	0.57321	0.79293	0.78167	0.95641	0.18684	0.90038	0.95004	0.18541	0.97475	0.65408	0.66072	0.67120	0.20264	0.19519	0.49579	0.57695	0.84636	0.99533	0.01396	0.03143	0.57600	0.93470	0.42366	0.96984	0.11145	0.92324	0.11163	0.57786	0.95065	0.00131	
	14. Random Excursions Test (p08)            PASS!	p=0.06039	0.48381	0.97554	0.68873	0.80997	0.79469	0.52859	0.62591	0.55022	0.61582	0.98698	0.64246	0.12158	0.15467	0.01269	0.58543	0.84071	0.05795	0.91127	0.41023	0.96843	0.43625	0.18938	0.95024	0.92116	0.29682	0.41646	0.80212	0.12820	0.90468	0.93893	0.03949	0.61638	0.23213	0.69801	0.48833	0.97886	0.97574	0.95957	0.80172	0.18278	0.02691	0.88311	0.10151	0.05233	0.67529	0.87126	0.00133	0.84531	0.08220	0.85145	0.39599	0.02380	0.62656	0.34421	0.95207	0.74223	0.30245	0.11658	0.62765	0.95957	0.71939	0.49606	0.36136	0.19648	0.38648	0.38967	0.05559	0.88581	0.21701	0.51904	0.11336	0.67797	0.90965	0.99790	0.14034	0.49454	0.65603	0.86402	0.49899	0.98264	0.71898	0.56576	0.80877	0.74501	0.81572	0.01107	
	15. Random Excursions Variant Test (p01)    PASS!	p=0.04486	0.48080	0.45159	0.76643	0.21620	0.87672	0.40081	0.93167	0.58604	0.39117	0.66439	0.17129	0.36248	0.55080	0.57145	0.63754	0.49800	0.85941	0.50656	0.47950	0.49272	0.68787	0.85784	0.50479	0.82826	0.06389	0.61391	0.95967	0.60628	0.75637	0.12462	0.70893	0.42749	0.83194	0.76176	0.81124	0.43587	0.46125	0.67442	0.71656	0.53950	0.86383	0.36415	0.53635	0.67442	0.35572	0.88653	0.76643	0.52764	0.60691	0.73160	0.45095	0.50494	0.84302	0.55245	0.10184	0.44283	0.64166	0.28790	0.97207	0.23395	0.07531	0.33845	0.88864	0.79599	0.40485	0.49231	0.52273	0.85098	0.90897	0.42117	0.29699	0.55854	0.66083	0.00000	0.90635	0.56601	0.85810	0.81124	0.96468	0.30265	0.92864	0.55654	0.12349	0.79166	0.27215	0.27808	
	15. Random Excursions Variant Test (p02)    PASS!	p=0.24663	0.43573	0.49427	0.75183	0.18799	0.86883	0.37109	0.55294	0.63526	0.36131	0.68611	0.16969	0.33232	0.75083	0.69854	0.56407	0.39390	0.88754	0.47950	0.45159	0.46521	0.88663	0.92404	0.56128	0.86249	0.15883	0.85792	0.91425	0.67480	0.86883	0.06733	0.65694	0.47121	0.72257	0.92287	0.70292	0.43497	0.60103	0.65472	0.94398	0.74397	0.85513	0.33400	0.54342	0.65472	0.34247	0.76126	0.75183	0.38046	0.58388	0.71500	0.78265	0.42233	1.00000	0.52709	0.08850	0.65217	0.58199	0.39614	0.85218	0.33256	0.01112	0.28717	1.00000	0.78313	0.37519	0.52501	0.54933	0.92034	0.83132	0.39180	0.26689	0.58579	0.78526	0.00002	0.92516	0.44501	1.00000	0.61109	0.81366	0.56128	0.82394	0.41878	0.23304	0.75901	0.24239	0.24821	
	15. Random Excursions Variant Test (p03)    PASS!	p=0.00715	0.43821	0.64858	0.73410	0.15730	0.72275	0.33667	0.62393	0.69189	0.32680	0.75649	0.20269	0.40826	0.75649	0.85331	0.62775	0.39791	1.00000	0.44752	0.44663	0.43277	0.95116	0.86446	0.40538	0.95055	0.45934	0.87773	0.97693	0.48807	0.63618	0.01076	0.84079	0.45490	0.62742	0.83522	0.53888	0.37291	0.64582	0.63095	0.79163	0.86076	0.84452	0.31698	0.58649	0.63095	0.34371	0.91337	0.73410	0.43240	0.55630	0.69489	0.89285	0.42627	0.90985	0.49691	0.07043	0.76218	0.59460	0.46280	0.84136	0.29795	0.00044	0.27368	1.00000	0.90586	0.32680	0.45261	0.61919	0.64159	0.60099	0.40302	0.26726	0.50350	0.96665	0.00842	0.81387	0.26053	0.87007	0.68205	0.51036	0.36738	0.81112	0.38511	0.44689	0.84756	0.20920	0.21485	
